,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
OperatingSystems,4.018921052,5.756158455,3.260032743,8.027600207,5.35111774,3.542526376,3.085901366,9.225365114,7.012499158,7.197748315,1.20685536,6.724065521,3.800453762,5.37689012,0.166890512,5.261333339,8.065164357,0.852783099,0.066879511,0.875560353,3.701108953
AJAX,2.804693107,3.060441988,4.810237619,3.143171153,4.193345731,8.853871351,1.837476124,0.215560054,2.484031375,5.819423759,8.314835207,3.319305194,0.498745493,7.211538019,3.247178388,7.019117736,2.709549619,5.346835762,4.029876206,2.754860451,4.988567798
javascript,2.436930952,3.764944921,1.662597094,0.648297234,2.463534481,4.419232387,0.744078481,2.295882762,9.982620058,3.879143776,3.167787426,6.103595559,1.686361925,1.725690904,6.671255848,7.620288673,6.700041789,7.363287357,2.089345447,8.976195812,0.729922061
HTML/CSS,1.883364698,2.141081632,6.643484366,1.801630757,0.021492033,2.271780072,5.747304164,2.289767088,0.993816591,3.235410499,2.438121887,6.451750389,5.678717093,2.425318813,2.46025303,0.956292526,5.641849694,6.555186162,4.479284443,2.626850609,0.315696136
Django,2.322140275,5.291544875,5.873458599,3.281323864,4.869589883,3.987666781,6.074635006,0.400627639,6.694984843,8.481855911,1.676570419,1.481300472,6.825756701,7.622177909,2.953414552,3.818969061,4.983158798,5.617777316,4.35646102,5.179799322,3.070680535
Rubyonrails,2.523275805,6.924796177,5.637562543,1.426163139,4.632077657,0.255369445,3.890662487,8.351748477,4.60073356,0.287799354,1.526287296,6.571824753,4.116122311,0.822765367,4.746585069,3.042471684,3.366206163,0.884110575,6.642694985,2.974779955,4.153581052
PHP,2.357864092,5.044462204,3.760061403,1.136046159,1.32798998,4.030557434,3.887762759,4.555901739,1.15103528,2.270575205,6.816359631,4.844685493,2.232312148,7.836193852,4.876420807,2.21775925,0.163410136,5.759618664,4.766801592,0.28803871,4.847698694
Fireworks,2.260194225,1.4561373,4.476753001,6.674425742,8.00327783,2.047300907,7.128519232,5.113632979,4.325195575,4.889617699,0.853610311,1.735164385,5.792548072,2.721474278,0.353751512,2.560375922,0.781832425,2.061989429,7.308095875,0.643527262,5.006067644
java,7.752280353,8.892511743,3.736696017,8.010687107,8.640993227,9.393688373,5.955499384,8.871953132,9.611491865,1.939194793,1.527864914,6.151145637,7.161071936,5.837512458,6.362667848,3.698027021,7.621044738,7.413565154,6.156880301,4.219007605,7.851512322
C++,7.317703889,8.553750709,5.652572772,1.698902014,1.897320436,5.385977212,3.211156718,6.534421185,9.026489597,4.78020182,7.693039764,7.825399331,1.180932848,6.31410956,9.707161887,8.081910484,9.932359835,5.735996901,5.437928923,6.847825751,8.485006496
